left	left_label	right	right_label	left_match_type	right_match_type	left_match_val	right_match_val	score	left_simscore	right_simscore	reciprocal_score	conditional_pr_equiv	pr_subClassOf	pr_superClassOf	pr_equivalentTo	pr_other	left_novel	right_novel	left_consistent	right_consistent	equiv_clique_size
http://sweetontology.net/phenOceanCoastal/StormSurge		ENVO:01000714	storm surge	label	label	StormSurge	storm surge	100.0	1.0	1.0	4	1.0	0.051829687579256614	0.051829687579256614	0.8745314718137412	0.021809153027745495	True	True	False	False	2
http://sweetontology.net/phenOceanDynamics/EasternBoundaryCurrent		ENVO:01000104	eastern boundary current	label	label	EasternBoundaryCurrent	eastern boundary current	100.0	0.3333333333333333	1.0	4	1.0	0.02875757002491396	0.02875757002491396	0.9259626577755511	0.016522202174620994	True	True	False	False	2
http://sweetontology.net/phenOceanDynamics/OceanCurrent		ENVO:00000147	ocean current	label	label	OceanCurrent	ocean current	100.0	0.2	1.0	0	0.6666666666666666	0.03080130438763631	0.03080130438763631	0.9195024610659133	0.01889493015881419	True	True	False	False	4
http://sweetontology.net/phenOceanDynamics/TidalWave		ENVO:01000689	tsunami	label	hasExactSynonym	TidalWave	tidal wave	90.0	1.0	0.5	2	0.47368421052631576	0.15925304417659605	0.18639654991901003	0.6213076302497732	0.033042775654620625	True	True	False	False	3
http://sweetontology.net/phenOceanDynamics/Tsunami		ENVO:01000689	tsunami	label	label	Tsunami	tsunami	100.0	0.5	1.0	0	0.5263157894736842	0.15437624015208845	0.18068853065005752	0.6409525264486041	0.023982702749249945	True	True	False	False	3
http://sweetontology.net/phenOceanDynamics/Upwelling		ENVO:01000005	upwelling	label	label	Upwelling	upwelling	100.0	0.5	1.0	4	1.0	0.05152030226182133	0.05152030226182133	0.8693111587142172	0.027648236762140028	True	True	False	False	2
http://sweetontology.net/phenOceanDynamics/WesternBoundaryCurrent		ENVO:01000103	western boundary current	label	label	WesternBoundaryCurrent	western boundary current	100.0	0.3333333333333333	1.0	4	1.0	0.02875757002491396	0.02875757002491396	0.9259626577755511	0.016522202174620994	True	True	False	False	2
http://sweetontology.net/phenPlanetClimate/Climate		ENVO:01001082	climate	label	label	Climate	climate	100.0	0.5	1.0	4	1.0	0.05152030226182133	0.05152030226182133	0.8693111587142172	0.027648236762140028	True	True	False	False	5
http://sweetontology.net/phenPlanetClimate/ClimateChange		ENVO:01000629	climate change	label	label	ClimateChange	climate change	100.0	1.0	1.0	4	1.0	0.028891279741098105	0.028891279741098105	0.9302679660495473	0.01194947446825637	True	True	False	False	2
http://sweetontology.net/phenPlanetClimate/Drought		ENVO:1000745	drought	label	label	Drought	drought	100.0	0.5	1.0	4	1.0	0.05152030226182133	0.05152030226182133	0.8693111587142172	0.027648236762140028	True	True	False	False	2
http://sweetontology.net/phenPlanetClimate/GreenhouseEffect		ENVO:02500004	greenhouse effect	label	label	GreenhouseEffect	greenhouse effect	100.0	1.0	1.0	4	1.0	0.028891279741098105	0.028891279741098105	0.9302679660495473	0.01194947446825637	True	True	False	False	2
http://sweetontology.net/phenReaction/Explosion		ENVO:03000090	explosion process	label	hasExactSynonym	Explosion	explosion	90.0	1.0	1.0	4	1.0	0.05258873130270072	0.05258873130270072	0.8652003768073055	0.029622160587292994	True	True	False	False	2
http://sweetontology.net/phenReaction/Fire		ENVO:01000786	fire	label	label	Fire	fire	100.0	1.0	1.0	4	1.0	0.051829687579256614	0.051829687579256614	0.8745314718137412	0.021809153027745495	True	True	False	False	2
http://sweetontology.net/phenReaction/Wildfire		ENVO:01000787	wildfire	label	label	Wildfire	wildfire	100.0	1.0	1.0	4	1.0	0.051829687579256614	0.051829687579256614	0.8745314718137412	0.021809153027745495	True	True	False	False	2
http://sweetontology.net/phenSolid/Erosion		ENVO:02500028	erosion	label	label	Erosion	erosion	100.0	1.0	1.0	4	1.0	0.051829687579256614	0.051829687579256614	0.8745314718137412	0.021809153027745495	True	True	False	False	3
http://sweetontology.net/phenSolid/Fault		ENVO:01000668	geological fault	label	hasBroadSynonym	Fault	fault	44.44444444444444	0.6666666666666666	0.6666666666666666	4	1.0	0.02779747495587816	0.18036299388260232	0.7012100370779212	0.0906294940835984	True	True	False	False	3
http://sweetontology.net/phenSolid/Fissure		ENVO:01000667	geological fracture	label	hasRelatedSynonym	Fissure	fissure	23.33333333333333	0.2	0.3333333333333333	1	0.10099622122981793	0.4451981849240614	0.08668402275960371	0.26880055510030165	0.19931723721603326	True	True	False	False	459
http://sweetontology.net/phenSolid/Fissure		ENVO:00000320	crevasse	label	hasRelatedSynonym	Fissure	fissure	27.777777777777775	0.3333333333333333	0.3333333333333333	0	0.35211267605633806	0.17286584906539593	0.3430585622673916	0.31633202099522495	0.16774356767198748	True	True	False	False	459
http://sweetontology.net/phenSolid/Fissure		ENVO:00000408	volcanic fissure	label	hasRelatedSynonym	Fissure	fissure	27.777777777777775	0.3333333333333333	0.3333333333333333	0	0.35211267605633806	0.17286584906539593	0.3430585622673916	0.31633202099522495	0.16774356767198748	True	True	False	False	459
http://sweetontology.net/phenSolid/Fracture		ENVO:01000667	geological fracture	label	hasBroadSynonym	Fracture	fracture	45.0	0.75	0.6	0	0.6585365853658537	0.06240423881728078	0.44793144474403673	0.3528875340595818	0.13677678237910082	True	True	False	False	459
http://sweetontology.net/phenSolid/Joint		ENVO:01000672	geological joint	label	hasBroadSynonym	Joint	joint	33.33333333333333	0.5	0.3333333333333333	4	1.0	0.027160661026925104	0.17623104783518526	0.685145976603303	0.11146231453458666	True	True	False	False	2
http://sweetontology.net/phenSolid/Microfracture		ENVO:01000674	microfracture	label	label	Microfracture	microfracture	100.0	1.0	0.6666666666666666	4	1.0	0.051631223853275905	0.051631223853275905	0.8711827583159387	0.025554793977509357	True	True	False	False	2
http://sweetontology.net/phenSolid/Subsidence		ENVO:01000694	geological subsidence	label	hasBroadSynonym	Subsidence	subsidence	50.0	1.0	0.5	0	0.5	0.035965573507610225	0.23336143030378562	0.6221738118614605	0.10849918432714363	True	True	False	False	4
http://sweetontology.net/phenStar/StellarWind		ENVO:01000794	stellar wind	label	label	StellarWind	stellar wind	100.0	0.5	1.0	0	0.6666666666666666	0.05330184767537247	0.05330184767537247	0.8647920061554494	0.02860429849380552	True	True	False	False	3
http://sweetontology.net/phenSystem/Drop		ENVO:01000831	droplet	label	hasRelatedSynonym	Drop	drop	50.0	1.0	0.5	0	0.25	0.10253477285833823	0.10253477285833823	0.6768895435935253	0.11804091068979829	True	True	False	False	13
http://sweetontology.net/phenSystem/Fall		ENVO:00000040	waterfall	label	hasRelatedSynonym	Fall	fall	50.0	1.0	0.5	2	0.15151515151515152	0.0943839405223513	0.0943839405223513	0.7025746754054618	0.10865744354983561	True	True	False	False	13
http://sweetontology.net/phenSystem/Flow		ENVO:01000696	mass wasting flow	label	hasBroadSynonym	Flow	flow	50.0	1.0	1.0	0	0.6428571428571429	0.03680309979919123	0.23879569185612853	0.6366623038983493	0.08773890444633094	True	True	False	False	3
http://sweetontology.net/phenSystem/Rise		ENVO:00000104	undersea feature	label	hasNarrowSynonym	Rise	rise	50.0	1.0	1.0	0	0.03690036900369004	0.46465254579828524	0.0647337640062826	0.36606068407401465	0.10455300612141756	True	True	False	False	459
http://sweetontology.net/phenSystem/Rise		ENVO:00000477	mount	label	hasRelatedSynonym	Rise	rise	50.0	1.0	1.0	0	0.10289634146341463	0.23887490389897365	0.1991514529406065	0.4371238247689765	0.12484981839144338	True	True	False	False	459
http://sweetontology.net/phenSystemComplexity/Cascade		ENVO:00000040	waterfall	label	hasRelatedSynonym	Cascade	cascade	50.0	1.0	1.0	0	0.15151515151515152	0.10513780194692608	0.10513780194692608	0.6940735985498787	0.09565079755626908	True	True	False	False	13
http://sweetontology.net/phenWave/Sound		ENVO:00000393	sound	label	label	Sound	sound	100.0	1.0	0.5	2	0.5	0.052662487968657884	0.052662487968657884	0.8664138362994327	0.0282611877632515	True	True	False	False	7
http://sweetontology.net/proc/Force		ENVO:00000040	waterfall	label	hasExactSynonym	Force	force	90.0	1.0	0.3333333333333333	0	0.2727272727272727	0.054840232625058216	0.054840232625058216	0.8477485784364571	0.04257095631342653	True	True	False	False	13
http://sweetontology.net/procPhysical/Abrasion		ENVO:01000682	glacial abrasion	label	hasBroadSynonym	Abrasion	abrasion	50.0	0.5	1.0	0	0.5	0.035965573507610225	0.23336143030378562	0.6221738118614605	0.10849918432714363	True	True	False	False	3
http://sweetontology.net/procPhysical/Current		ENVO:00000147	ocean current	label	hasBroadSynonym	Current	current	50.0	1.0	1.0	2	0.3333333333333333	0.03403830377886621	0.22085640461899494	0.6639576844966428	0.08114760710549597	True	True	False	False	4
http://sweetontology.net/procPhysical/Radiation		ENVO:01001023	radiation	label	label	Radiation	radiation	100.0	1.0	1.0	0	0.5	0.053633068485268366	0.053633068485268366	0.8701658744388682	0.022567988590595105	True	True	False	False	3
http://sweetontology.net/procStateChange/Boiling		ENVO:01000623	boiling	label	label	Boiling	boiling	100.0	1.0	1.0	4	1.0	0.051829687579256614	0.051829687579256614	0.8745314718137412	0.021809153027745495	True	True	False	False	2
http://sweetontology.net/procStateChange/Condensation		ENVO:01000624	hydrological condensation process	label	hasBroadSynonym	Condensation	condensation	50.0	1.0	1.0	4	1.0	0.028491530818445313	0.18486635231688744	0.7187180639004058	0.06792405296426147	True	True	False	False	2
http://sweetontology.net/procStateChange/Deposition		ENVO:01000726	desublimation process	label	hasBroadSynonym	Deposition	deposition	50.0	1.0	1.0	0	0.5	0.03680309979919123	0.23879569185612853	0.6366623038983493	0.08773890444633094	True	True	False	False	3
http://sweetontology.net/procStateChange/Evaporation		ENVO:02500034	evaporation	label	label	Evaporation	evaporation	100.0	1.0	1.0	4	1.0	0.051829687579256614	0.051829687579256614	0.8745314718137412	0.021809153027745495	True	True	False	False	2
http://sweetontology.net/procStateChange/Melting		ENVO:01000723	melting	label	label	Melting	melting	100.0	1.0	1.0	4	1.0	0.051829687579256614	0.051829687579256614	0.8745314718137412	0.021809153027745495	True	True	False	False	2
http://sweetontology.net/procStateChange/Vaporization		ENVO:01000622	vaporisation	label	hasExactSynonym	Vaporization	vaporization	90.0	1.0	1.0	4	1.0	0.05258873130270072	0.05258873130270072	0.8652003768073055	0.029622160587292994	True	True	False	False	2
http://sweetontology.net/procWave/ElectromagneticRadiation		ENVO:01001026	electromagnetic radiation	label	label	ElectromagneticRadiation	electromagnetic radiation	100.0	1.0	1.0	4	1.0	0.051829687579256614	0.051829687579256614	0.8745314718137412	0.021809153027745495	True	True	False	False	3
http://sweetontology.net/propDiffusivity/Confluence		ENVO:00000272	confluence	label	label	Confluence	confluence	100.0	1.0	1.0	0	0.6666666666666666	0.053633068485268366	0.053633068485268366	0.8701658744388682	0.022567988590595105	True	True	False	False	459
http://sweetontology.net/propFunction/Peak		ENVO:00000181	nunatak	label	hasRelatedSynonym	Peak	peak	50.0	0.5	1.0	1	0.125	0.17257078975817816	0.3424730063448944	0.3708218586836192	0.11413434521330813	True	True	False	False	459
http://sweetontology.net/propFunction/Peak		ENVO:00000264	seamount	label	hasRelatedSynonym	Peak	peak	50.0	1.0	1.0	0	0.03134796238244514	0.23887490389897365	0.1991514529406065	0.4371238247689765	0.12484981839144338	True	True	False	False	459
http://sweetontology.net/propFunction/Peak		ENVO:00000480	peak	label	label	Peak	peak	100.0	0.5	1.0	0	0.2	0.19845471261621442	0.07123036731603094	0.703974120434599	0.026340799633155786	True	True	False	False	459
http://sweetontology.net/propPressure/AirPressure		ENVO:09200011	pressure of air	label	hasExactSynonym	AirPressure	air pressure	90.0	1.0	1.0	4	1.0	0.05258873130270072	0.05258873130270072	0.8652003768073055	0.029622160587292994	True	True	False	False	4
http://sweetontology.net/propQuantity/Force		ENVO:00000040	waterfall	label	hasExactSynonym	Force	force	90.0	1.0	1.0	0	0.2727272727272727	0.05548836844776573	0.05548836844776573	0.8577677960078096	0.0312554670966589	True	True	False	False	13
http://sweetontology.net/propSpaceDistance/Range		ENVO:00000106	grassland	label	hasRelatedSynonym	Range	range	50.0	1.0	1.0	1	0.07352941176470588	0.22196701386285003	0.1850552426987884	0.4769649647105126	0.11601277872784899	True	True	False	False	459
http://sweetontology.net/propSpaceDistance/Range		ENVO:00000113	obsolete cultivated habitat	label	hasRelatedSynonym	Range	range	50.0	1.0	1.0	0	0.25	0.23887490389897365	0.1991514529406065	0.4371238247689765	0.12484981839144338	True	True	False	False	459
http://sweetontology.net/propSpaceDistance/Range		ENVO:00000264	seamount	label	hasRelatedSynonym	Range	range	50.0	1.0	1.0	0	0.03134796238244514	0.23887490389897365	0.1991514529406065	0.4371238247689765	0.12484981839144338	True	True	False	False	459
http://sweetontology.net/propSpaceDistance/Range		ENVO:01000311	cultivated environment	label	hasRelatedSynonym	Range	range	50.0	1.0	1.0	0	0.25	0.23887490389897365	0.1991514529406065	0.4371238247689765	0.12484981839144338	True	True	False	False	459
http://sweetontology.net/propSpaceHeight/Ceiling		ENVO:01000471	ceiling	label	label	Ceiling	ceiling	100.0	1.0	1.0	4	1.0	0.051829687579256614	0.051829687579256614	0.8745314718137412	0.021809153027745495	True	True	False	False	2
http://sweetontology.net/propSpaceHeight/Crest		ENVO:00000283	ridge	label	hasRelatedSynonym	Crest	crest	50.0	0.5	1.0	0	0.1829268292682927	0.10253477285833823	0.10253477285833823	0.6768895435935253	0.11804091068979829	True	True	False	False	459
