sweet:matrOrganicCompound/Acenaphthylene	acenaphthylene	odm:acenaphthylene	Acenaphthylene	acenaphthylen		info(label-label,rdf(sweet:matrOrganicCompound/Acenaphthylene-acenaphthylene,rdfs:label,(acenaphthylene-acenaphthylene)@en)-rdf(odm:acenaphthylene-Acenaphthylene,skos:prefLabel,Acenaphthylene-Acenaphthylene^^xsd:string),stem)	
sweet:matrOrganicCompound/Aldrin	aldrin	odm:aldrin	Aldrin	aldrin		info(label-label,rdf(sweet:matrOrganicCompound/Aldrin-aldrin,rdfs:label,(aldrin-aldrin)@en)-rdf(odm:aldrin-Aldrin,skos:prefLabel,Aldrin-Aldrin^^xsd:string),downcase)	
sweet:matrOrganicCompound/Benzene	benzene	odm:benzene	Benzene	benzen		info(label-label,rdf(sweet:matrOrganicCompound/Benzene-benzene,rdfs:label,(benzene-benzene)@en)-rdf(odm:benzene-Benzene,skos:prefLabel,Benzene-Benzene^^xsd:string),stem)	
sweet:matrOrganicCompound/Butane	butane	odm:butane	Butane	butan		info(label-label,rdf(sweet:matrOrganicCompound/Butane-butane,rdfs:label,(butane-butane)@en)-rdf(odm:butane-Butane,skos:prefLabel,Butane-Butane^^xsd:string),stem)	
sweet:matrOrganicCompound/ChlorophyllA	chlorophyll a	odm:chlorophyll_a	Chlorophyll a	chlorophyll a		info(label-label,rdf(sweet:matrOrganicCompound/ChlorophyllA-chlorophyll a,rdfs:label,(chlorophyll a-chlorophyll a)@en)-rdf(odm:chlorophyll_a-Chlorophyll a,skos:prefLabel,Chlorophyll a-Chlorophyll a^^xsd:string),downcase)	
sweet:matrOrganicCompound/Ethane	ethane	odm:ethane	Ethane	ethan		info(label-label,rdf(sweet:matrOrganicCompound/Ethane-ethane,rdfs:label,(ethane-ethane)@en)-rdf(odm:ethane-Ethane,skos:prefLabel,Ethane-Ethane^^xsd:string),stem)	
sweet:matrOrganicCompound/FormicAcid	formic acid	odm:formicAcid	Formic acid	formic acid		info(label-label,rdf(sweet:matrOrganicCompound/FormicAcid-formic acid,rdfs:label,(formic acid-formic acid)@en)-rdf(odm:formicAcid-Formic acid,skos:prefLabel,Formic acid-Formic acid^^xsd:string),downcase)	
sweet:matrOrganicCompound/Methane	methane	odm:methane	Methane	methan		info(label-label,rdf(sweet:matrOrganicCompound/Methane-methane,rdfs:label,(methane-methane)@en)-rdf(odm:methane-Methane,skos:prefLabel,Methane-Methane^^xsd:string),stem)	
sweet:matrOrganicCompound/Pheophytin	pheophytin	odm:pheophytin	Pheophytin	pheophytin		info(label-label,rdf(sweet:matrOrganicCompound/Pheophytin-pheophytin,rdfs:label,(pheophytin-pheophytin)@en)-rdf(odm:pheophytin-Pheophytin,skos:prefLabel,Pheophytin-Pheophytin^^xsd:string),downcase)	
sweet:matrOrganicCompound/Propane	propane	odm:propane	Propane	propan		info(label-label,rdf(sweet:matrOrganicCompound/Propane-propane,rdfs:label,(propane-propane)@en)-rdf(odm:propane-Propane,skos:prefLabel,Propane-Propane^^xsd:string),stem)	
sweet:matrOrganicCompound/Toluene	toluene	odm:toluene	Toluene	toluen		info(label-label,rdf(sweet:matrOrganicCompound/Toluene-toluene,rdfs:label,(toluene-toluene)@en)-rdf(odm:toluene-Toluene,skos:prefLabel,Toluene-Toluene^^xsd:string),stem)	
sweet:matrSediment/Clay	clay	odm:Clay	Clay	clai		info(label-label,rdf(sweet:matrSediment/Clay-clay,rdfs:label,(clay-clay)@en)-rdf(odm:Clay-Clay,skos:prefLabel,Clay-Clay^^xsd:string),stem)	
sweet:matrSediment/Sand	sand	odm:Sand	Sand	sand		info(label-label,rdf(sweet:matrSediment/Sand-sand,rdfs:label,(sand-sand)@en)-rdf(odm:Sand-Sand,skos:prefLabel,Sand-Sand^^xsd:string),downcase)	
sweet:matrSediment/Silt	silt	odm:Silt	Silt	silt		info(label-label,rdf(sweet:matrSediment/Silt-silt,rdfs:label,(silt-silt)@en)-rdf(odm:Silt-Silt,skos:prefLabel,Silt-Silt^^xsd:string),downcase)	
sweet:phen/Precipitation	precipitation	odm:precipitation	Precipitation	precipit		info(label-label,rdf(sweet:phen/Precipitation-precipitation,rdfs:label,(precipitation-precipitation)@en)-rdf(odm:precipitation-Precipitation,skos:prefLabel,Precipitation-Precipitation^^xsd:string),stem)	
